"year","X1"
1971,138
1972,407.5
1973,114
1974,200.5
1975,81.9
1976,105.2
1977,111.6
1978,90.1
1979,120.2
1980,111.3
1981,477.5
1982,110.7
1983,90.4
1984,123.1
1985,212.8
1986,249.4
1987,157.8
1988,96.5
1989,75
1990,100.1
1991,188
1992,95.1
1993,123
1994,190.5
1995,83
1996,74
1997,89.5
1998,236
1999,145
2000,136
2001,166
2002,173
2003,135
2004,303
2005,141.5
2006,116
2007,109
2008,107
2009,164.5
2010,106.5
2011,178
2012,183
2013,90
2014,150.5
2015,137.2
2016,93.6
2017,86.1
2018,157.8
2019,186.6
2020,113.9
2021,297.3
2022,140.4
